广东,#genre#
河源综合,http://10.10.10.5:8080/gudou.php?id=hy1
河源公共,http://10.10.10.5:8080/gudou.php?id=hy2
惠州一套,http://10.10.10.5:8080/gudou.php?id=hz1hd
惠州一套,http://10.10.10.5:8080/gudou.php?id=hz1
惠州二套,http://10.10.10.5:8080/gudou.php?id=hz2hd
惠州二套,http://10.10.10.5:8080/gudou.php?id=hz2
博罗综合,http://10.10.10.5:8080/gudou.php?id=blzhhd
博罗综合,http://10.10.10.5:8080/gudou.php?id=blzh
博罗综合,http://10.10.10.5:8080/gudou.php?id=blzhb
惠东综合,http://10.10.10.5:8080/gudou.php?id=hdzh
惠阳综合,http://10.10.10.5:8080/gudou.php?id=hyzh
江门综合,http://10.10.10.5:8080/gudou.php?id=jmzhhd
江门综合,http://10.10.10.5:8080/gudou.php?id=jmzh
江门侨乡生活,http://10.10.10.5:8080/gudou.php?id=jmqxsh
鹤山综合,http://10.10.10.5:8080/gudou.php?id=hszh
新会综合,http://10.10.10.5:8080/gudou.php?id=xhzh
揭阳综合,http://10.10.10.5:8080/gudou.php?id=jyzhhd
揭阳综合,http://10.10.10.5:8080/gudou.php?id=jyzh
揭阳生活,http://10.10.10.5:8080/gudou.php?id=jyshhd
揭阳生活,http://10.10.10.5:8080/gudou.php?id=jysh
揭东综合,http://10.10.10.5:8080/gudou.php?id=jdzh
茂名综合,http://10.10.10.5:8080/gudou.php?id=mmzh
茂名文化生活,http://10.10.10.5:8080/gudou.php?id=mmwhsh
茂名文化生活2,http://10.10.10.5:8080/gudou.php?id=mmwhsh2
化州综合,http://10.10.10.5:8080/gudou.php?id=hzzh
信宜综合,http://10.10.10.5:8080/gudou.php?id=xyzh
梅州1,http://10.10.10.5:8080/gudou.php?id=mz1
梅州2,http://10.10.10.5:8080/gudou.php?id=mz2
梅州导视,http://10.10.10.5:8080/gudou.php?id=mzds
梅县综合,http://10.10.10.5:8080/gudou.php?id=mxzh
平远-1,http://10.10.10.5:8080/gudou.php?id=py1
五华综合,http://10.10.10.5:8080/gudou.php?id=whzh
兴宁综合,http://10.10.10.5:8080/gudou.php?id=xnzh
清远新闻综合,http://10.10.10.5:8080/gudou.php?id=qyxwzhhd
清远新闻综合,http://10.10.10.5:8080/gudou.php?id=qyxwzh
清远文旅生活HD,http://10.10.10.5:8080/gudou.php?id=qywlshhd
清远文旅生活,http://10.10.10.5:8080/gudou.php?id=qywlsh
佛冈综合,http://10.10.10.5:8080/gudou.php?id=fgzh
英德综合,http://10.10.10.5:8080/gudou.php?id=ydzh
汕头新闻综合,http://10.10.10.5:8080/gudou.php?id=stxwzh
汕头新闻综合2,http://10.10.10.5:8080/gudou.php?id=stxwzh2
汕头经济生活,http://10.10.10.5:8080/gudou.php?id=stjjsh
汕头经济生活2,http://10.10.10.5:8080/gudou.php?id=stjjsh2
汕头文旅体育,http://10.10.10.5:8080/gudou.php?id=stwlty
汕头文旅体育2,http://10.10.10.5:8080/gudou.php?id=stwlty2
汕尾新闻综合,http://10.10.10.5:8080/gudou.php?id=swxwzh
汕尾文化生活,http://10.10.10.5:8080/gudou.php?id=swwhsh
海丰综合,http://10.10.10.5:8080/gudou.php?id=hfzh
韶关综合,http://10.10.10.5:8080/gudou.php?id=sgzh
韶关绿色生活,http://10.10.10.5:8080/gudou.php?id=sglssh
始兴综合,http://10.10.10.5:8080/gudou.php?id=sgsx
云浮综合,http://10.10.10.5:8080/gudou.php?id=yfzh
云浮文旅,http://10.10.10.5:8080/gudou.php?id=yfwl
珠海一套,http://10.10.10.5:8080/gudou.php?id=zh1hd
珠海一套,http://10.10.10.5:8080/gudou.php?id=zh1
珠海二套,http://10.10.10.5:8080/gudou.php?id=zh2hd
珠海二套,http://10.10.10.5:8080/gudou.php?id=zh2
斗门融媒,http://10.10.10.5:8080/gudou.php?id=dmrm
湛江综合,http://10.10.10.5:8080/gudou.php?id=zjzh
湛江公共,http://10.10.10.5:8080/gudou.php?id=zjgg
廉江综合,http://10.10.10.5:8080/gudou.php?id=ljzh
肇庆综合,http://10.10.10.5:8080/gudou.php?id=zqzh
肇庆生活服务,http://10.10.10.5:8080/gudou.php?id=zqshfw
怀集综合,http://10.10.10.5:8080/gudou.php?id=hjzh
中山综合,http://10.10.10.5:8080/gudou.php?id=zszhhd
中山综合,http://10.10.10.5:8080/gudou.php?id=zszh
中山香山文化,http://10.10.10.5:8080/gudou.php?id=zsxswhhd
中山香山文化,http://10.10.10.5:8080/gudou.php?id=zsxswh
中山教育,http://10.10.10.5:8080/gudou.php?id=zsjy
港澳,#genre#
翡翠台,http://10.10.10.5:8080/gudou.php?id=fcthd
翡翠台,http://10.10.10.5:8080/gudou.php?id=fct
明珠台,http://10.10.10.5:8080/gudou.php?id=mzthd
明珠台,http://10.10.10.5:8080/gudou.php?id=mzt
凤凰中文,http://10.10.10.5:8080/gudou.php?id=fhzw
澳视澳门,http://10.10.10.5:8080/gudou.php?id=asam
星空卫视,http://10.10.10.5:8080/gudou.php?id=xkws
澳亚卫视,http://10.10.10.5:8080/gudou.php?id=ayws
央视,#genre#
CCTV1综合,http://10.10.10.5:8080/gudou.php?id=cctv1
CCTV1综合HD,http://10.10.10.5:8080/gudou.php?id=cctv1hd
CCTV2财经,http://10.10.10.5:8080/gudou.php?id=cctv2
CCTV2财经HD,http://10.10.10.5:8080/gudou.php?id=cctv2hd
CCTV3综艺,http://10.10.10.5:8080/gudou.php?id=cctv3
CCTV3综艺HD,http://10.10.10.5:8080/gudou.php?id=cctv3hd
CCTV4中文国际,http://10.10.10.5:8080/gudou.php?id=cctv4
CCTV4中文国际HD,http://10.10.10.5:8080/gudou.php?id=cctv4hd
CCTV5体育HD,http://10.10.10.5:8080/gudou.php?id=cctv5
CCTV5体育HD,http://10.10.10.5:8080/gudou.php?id=cctv5hd
CCTV5+体育赛事,http://10.10.10.5:8080/gudou.php?id=cctv5p
CCTV5+体育赛事HD,http://10.10.10.5:8080/gudou.php?id=cctv5phd
CCTV6电影,http://10.10.10.5:8080/gudou.php?id=cctv6
CCTV6电影HD,http://10.10.10.5:8080/gudou.php?id=cctv6hd
CCTV7国防军事,http://10.10.10.5:8080/gudou.php?id=cctv7
CCTV7国防军事HD,http://10.10.10.5:8080/gudou.php?id=cctv7hd
CCTV8电视剧,http://10.10.10.5:8080/gudou.php?id=cctv8
CCTV8电视剧HD,http://10.10.10.5:8080/gudou.php?id=cctv8hd
CCTV9纪录,http://10.10.10.5:8080/gudou.php?id=cctv9
CCTV9纪录HD,http://10.10.10.5:8080/gudou.php?id=cctv9hd
CCTV10科教,http://10.10.10.5:8080/gudou.php?id=cctv10
CCTV10科教HD,http://10.10.10.5:8080/gudou.php?id=cctv10hd
CCTV11戏曲,http://10.10.10.5:8080/gudou.php?id=cctv11
CCTV11戏曲HD,http://10.10.10.5:8080/gudou.php?id=cctv11hd
CCTV12社会HD,http://10.10.10.5:8080/gudou.php?id=cctv12
CCTV12社会HD,http://10.10.10.5:8080/gudou.php?id=cctv12hd
CCTV13新闻,http://10.10.10.5:8080/gudou.php?id=cctv13
CCTV13新闻HD,http://10.10.10.5:8080/gudou.php?id=cctv13hd
CCTV14少儿,http://10.10.10.5:8080/gudou.php?id=cctv14
CCTV14少儿HD,http://10.10.10.5:8080/gudou.php?id=cctv14hd
CCTV15音乐,http://10.10.10.5:8080/gudou.php?id=cctv15
CTV15音乐HD,http://10.10.10.5:8080/gudou.php?id=cctv15hd
CCTV16奥林匹克,http://10.10.10.5:8080/gudou.php?id=cctv16
CCTV16奥林匹克4K,http://10.10.10.5:8080/gudou.php?id=cctv164k
CCTV17农村农业,http://10.10.10.5:8080/gudou.php?id=cctv17
CCTV17农村农业HD,http://10.10.10.5:8080/gudou.php?id=cctv17hd
CCTV4K超高清,http://10.10.10.5:8080/gudou.php?id=cctv4k
怀旧剧场,http://10.10.10.5:8080/gudou.php?id=hjjc
风云剧场,http://10.10.10.5:8080/gudou.php?id=fyjc
风云音乐,http://10.10.10.5:8080/gudou.php?id=fyyy
风云足球,http://10.10.10.5:8080/gudou.php?id=fyzq
CGTN,http://10.10.10.5:8080/gudou.php?id=cgtn
书画,http://10.10.10.5:8080/gudou.php?id=sh
中国天气,http://10.10.10.5:8080/gudou.php?id=zgtq
中国教育,#genre#
CETV1,http://10.10.10.5:8080/gudou.php?id=cetv1
CETV1HD,http://10.10.10.5:8080/gudou.php?id=cetv1hd
CETV4,http://10.10.10.5:8080/gudou.php?id=cetv4
CHC系列,#genre#
CHC高清电影,http://10.10.10.5:8080/gudou.php?id=chcgq
CHC家庭影院,http://10.10.10.5:8080/gudou.php?id=chcjt
CHC动作电影,http://10.10.10.5:8080/gudou.php?id=chcdz
卫视,#genre#
北京卫视,http://10.10.10.5:8080/gudou.php?id=bjws
北京卫视HD,http://10.10.10.5:8080/gudou.php?id=bjhd
东方卫视,http://10.10.10.5:8080/gudou.php?id=dfws
东方卫视HD,http://10.10.10.5:8080/gudou.php?id=dfhd
天津卫视,http://10.10.10.5:8080/gudou.php?id=tjws
天津卫视HD,http://10.10.10.5:8080/gudou.php?id=tjhd
重庆卫视,http://10.10.10.5:8080/gudou.php?id=cqws
重庆卫视HD,http://10.10.10.5:8080/gudou.php?id=cqhd
黑龙江卫视,http://10.10.10.5:8080/gudou.php?id=hljws
黑龙江卫视HD,http://10.10.10.5:8080/gudou.php?id=hljhd
吉林卫视,http://10.10.10.5:8080/gudou.php?id=jlws
吉林卫视HD,http://10.10.10.5:8080/gudou.php?id=jlhd
延边卫视,http://10.10.10.5:8080/gudou.php?id=ybws
辽宁卫视,http://10.10.10.5:8080/gudou.php?id=lnws
辽宁卫视HD,http://10.10.10.5:8080/gudou.php?id=lnhd
内蒙古卫视,http://10.10.10.5:8080/gudou.php?id=nmws
宁夏卫视,http://10.10.10.5:8080/gudou.php?id=nxws
甘肃卫视,http://10.10.10.5:8080/gudou.php?id=gsws
青海卫视,http://10.10.10.5:8080/gudou.php?id=qhws
陕西卫视,http://10.10.10.5:8080/gudou.php?id=sxws
河北卫视,http://10.10.10.5:8080/gudou.php?id=hbws
河北卫视HD,http://10.10.10.5:8080/gudou.php?id=hbhd
山西卫视,http://10.10.10.5:8080/gudou.php?id=sxiws
山东卫视,http://10.10.10.5:8080/gudou.php?id=sdws
山东卫视HD,http://10.10.10.5:8080/gudou.php?id=sdhd
安徽卫视,http://10.10.10.5:8080/gudou.php?id=ahws
安徽卫视HD,http://10.10.10.5:8080/gudou.php?id=ahhd
河南卫视,http://10.10.10.5:8080/gudou.php?id=hnws
湖北卫视,http://10.10.10.5:8080/gudou.php?id=hubws
湖北卫视HD,http://10.10.10.5:8080/gudou.php?id=hubhd
湖南卫视,http://10.10.10.5:8080/gudou.php?id=hunws
湖南卫视HD,http://10.10.10.5:8080/gudou.php?id=hunhd
江西卫视,http://10.10.10.5:8080/gudou.php?id=jxws
江西卫视HD,http://10.10.10.5:8080/gudou.php?id=jxhd
江苏卫视,http://10.10.10.5:8080/gudou.php?id=jsws
江苏卫视HD,http://10.10.10.5:8080/gudou.php?id=jshd
浙江卫视,http://10.10.10.5:8080/gudou.php?id=zjws
浙江卫视HD,http://10.10.10.5:8080/gudou.php?id=zjhd
东南卫视,http://10.10.10.5:8080/gudou.php?id=dnws
东南卫视HD,http://10.10.10.5:8080/gudou.php?id=dnhd
广东卫视,http://10.10.10.5:8080/gudou.php?id=gdws
广东卫视HD,http://10.10.10.5:8080/gudou.php?id=gdhd
深圳卫视,http://10.10.10.5:8080/gudou.php?id=szws
深圳卫视HD,http://10.10.10.5:8080/gudou.php?id=szhd
大湾区卫视,http://10.10.10.5:8080/gudou.php?id=dwqws
广西卫视,http://10.10.10.5:8080/gudou.php?id=gxws
广西卫视HD,http://10.10.10.5:8080/gudou.php?id=gxhd
云南卫视,http://10.10.10.5:8080/gudou.php?id=ynws
贵州卫视,http://10.10.10.5:8080/gudou.php?id=gzws
贵州卫视HD,http://10.10.10.5:8080/gudou.php?id=gzhd
四川卫视,http://10.10.10.5:8080/gudou.php?id=scws
四川卫视HD,http://10.10.10.5:8080/gudou.php?id=schd
新疆卫视,http://10.10.10.5:8080/gudou.php?id=xjws
兵团卫视,http://10.10.10.5:8080/gudou.php?id=btws
西藏卫视,http://10.10.10.5:8080/gudou.php?id=xzws
海南卫视,http://10.10.10.5:8080/gudou.php?id=hinws
海南卫视HD,http://10.10.10.5:8080/gudou.php?id=hinhd
三沙卫视,http://10.10.10.5:8080/gudou.php?id=ssws
地方,#genre#
卡酷少儿,http://10.10.10.5:8080/gudou.php?id=kkse
环球奇观,http://10.10.10.5:8080/gudou.php?id=hqqg
劲爆体育,http://10.10.10.5:8080/gudou.php?id=jbty
劲爆体育HD,http://10.10.10.5:8080/gudou.php?id=jbtyhd
乐游,http://10.10.10.5:8080/gudou.php?id=ly
乐游HD,http://10.10.10.5:8080/gudou.php?id=lyhd
东方财经,http://10.10.10.5:8080/gudou.php?id=dfcj
法治天地,http://10.10.10.5:8080/gudou.php?id=fztd
都市剧场,http://10.10.10.5:8080/gudou.php?id=dsjc
动漫秀场,http://10.10.10.5:8080/gudou.php?id=dmxc
魅力足球,http://10.10.10.5:8080/gudou.php?id=mlzq
金色学堂,http://10.10.10.5:8080/gudou.php?id=jsxt
哈哈炫动,http://10.10.10.5:8080/gudou.php?id=hhxd
新视觉,http://10.10.10.5:8080/gudou.php?id=xsj
新动漫,http://10.10.10.5:8080/gudou.php?id=xdm
文物宝库,http://10.10.10.5:8080/gudou.php?id=wwbk
武术世界,http://10.10.10.5:8080/gudou.php?id=wssj
梨园频道,http://10.10.10.5:8080/gudou.php?id=lypd
金鹰卡通,http://10.10.10.5:8080/gudou.php?id=jykt
快乐垂钓,http://10.10.10.5:8080/gudou.php?id=klcd
先锋乒羽,http://10.10.10.5:8080/gudou.php?id=xfpy
优漫卡通,http://10.10.10.5:8080/gudou.php?id=ymkt
求索生活,http://10.10.10.5:8080/gudou.php?id=qssh
求索纪录,http://10.10.10.5:8080/gudou.php?id=qsjl
求索科学,http://10.10.10.5:8080/gudou.php?id=qskx
求索动物,http://10.10.10.5:8080/gudou.php?id=qsdw
